Date;AH1pdm;A(H3);B
2008-09-14;0;4;0
2008-09-21;0;2;2
2008-09-28;0;0;4
2008-10-05;0;0;0
2008-10-12;0;0;2
2008-10-19;0;1;18
2008-10-26;0;4;1
2008-11-02;4;4;2
2008-11-09;3;15;3
2008-11-16;2;24;5
2008-11-23;11;40;4
2008-11-30;13;23;16
2008-12-07;17;32;15
2008-12-14;88;79;36
2008-12-21;138;115;21
2008-12-28;153;100;26
2009-01-04;143;66;27
2009-01-11;27;13;6
2009-01-18;338;124;23
2009-01-25;396;148;47
2009-02-01;670;202;77
2009-02-08;578;179;86
2009-02-15;358;116;86
2009-02-22;194;90;102
2009-03-01;133;74;125
2009-03-08;97;55;175
2009-03-15;70;35;241
2009-03-22;35;30;239
2009-03-29;26;10;140
2009-04-05;11;10;87
2009-04-12;12;19;70
2009-04-19;6;15;62
2009-04-26;10;15;76
2009-05-03;5;24;73
2009-05-10;3;73;39
2009-05-17;4;68;18
2009-05-24;145;63;30
2009-05-31;168;329;23
2009-06-07;36;140;10
2009-06-14;57;48;6
2009-06-21;154;47;4
2009-06-28;211;37;4
2009-07-05;251;26;4
2009-07-12;401;22;0
2009-07-19;784;36;4
2009-07-26;1124;29;0
2009-08-02;1011;27;0
2009-08-09;752;14;0
2009-08-16;1054;7;0
2009-08-23;1128;8;0
2009-08-30;1515;14;0
2009-09-06;1003;5;0
2009-09-13;595;4;0
2009-09-20;519;2;0
2009-09-27;716;3;0
2009-10-04;475;2;0
2009-10-11;754;1;0
2009-10-18;997;2;0
2009-10-25;1027;0;0
2009-11-01;1402;0;0
2009-11-08;1680;1;0
2009-11-15;1460;0;0
2009-11-22;1583;0;0
2009-11-29;1593;0;1
2009-12-06;1414;0;0
2009-12-13;1443;0;0
2009-12-20;1308;0;1
2009-12-27;1040;0;0
2010-01-03;619;0;0
2010-01-10;177;0;0
2010-01-10;512;0;0
2010-01-17;485;0;1
2010-01-24;551;0;1
2010-01-31;411;0;2
2010-02-07;342;0;4
2010-02-14;263;0;3
2010-02-21;251;0;4
2010-02-28;167;3;8
2010-03-07;99;2;14
2010-03-14;77;1;10
2010-03-21;47;3;16
2010-03-28;17;3;10
2010-04-04;18;2;15
2010-04-11;17;3;6
2010-04-18;25;4;13
2010-04-25;18;3;10
2010-05-02;9;1;6
2010-05-09;7;3;4
2010-05-16;19;2;23
2010-05-23;19;11;13
2010-05-30;13;3;8
2010-06-06;6;2;4
2010-06-13;9;0;4
2010-06-20;7;6;0
2010-06-27;3;1;2
2010-07-04;7;2;2
2010-07-11;10;5;0
2010-07-18;7;7;2
2010-07-25;4;5;3
2010-08-01;2;3;2
2010-08-08;10;17;0
2010-08-15;12;11;1
2010-08-22;4;10;0
2010-08-29;6;18;1
2010-09-05;8;22;3
2010-09-12;23;26;1
2010-09-19;8;21;2
2010-09-26;14;16;1
2010-10-03;7;31;1
2010-10-10;16;44;4
2010-10-17;10;30;1
2010-10-24;16;32;2
2010-10-31;10;63;2
2010-11-07;19;40;0
2010-11-14;12;65;1
2010-11-21;26;94;17
2010-11-28;32;105;8
2010-12-05;45;111;15
2010-12-12;139;110;8
2010-12-19;189;157;26
2010-12-26;269;134;20
2011-01-02;173;59;13
2011-01-09;594;75;12
2011-01-16;949;165;16
2011-01-23;1354;235;61
2011-01-30;847;204;67
2011-02-06;607;254;92
2011-02-13;336;217;83
2011-02-20;207;225;81
2011-02-27;146;267;112
2011-03-06;91;234;116
2011-03-13;71;201;143
2011-03-20;17;130;136
2011-03-27;9;82;97
2011-04-03;2;77;95
2011-04-10;2;63;96
2011-04-17;2;64;115
2011-04-24;3;79;94
2011-05-01;2;53;98
2011-05-08;0;19;38
2011-05-15;1;16;44
2011-05-22;0;19;34
2011-05-29;0;14;25
2011-06-05;0;8;29
2011-06-12;0;1;15
2011-06-19;0;2;7
2011-06-26;0;0;5
2011-07-03;0;3;4
2011-07-10;0;0;1
2011-07-17;0;0;2
2011-07-24;0;2;2
2011-07-31;0;1;1
2011-08-07;0;0;1
2011-08-14;1;0;0
2011-08-21;1;0;0
2011-08-28;0;1;0
2011-09-04;0;0;0
2011-09-11;0;5;0
2011-09-18;0;1;0
2011-09-25;0;2;0
2011-10-02;0;6;1
2011-10-09;0;5;5
2011-10-16;1;18;0
2011-10-23;1;17;3
2011-10-30;0;22;3
2011-11-06;0;26;7
2011-11-13;0;7;2
2011-11-20;0;46;2
2011-11-27;0;44;2
2011-12-04;0;76;3
2011-12-11;0;117;4
2011-12-18;0;157;15
2011-12-25;1;168;7
2012-01-01;1;106;7
2012-01-08;1;158;11
2012-01-15;0;415;40
2012-01-22;1;867;94
2012-01-29;0;615;117
2012-02-05;0;549;114
2012-02-12;1;411;124
2012-02-19;1;347;155
2012-02-26;1;270;130
2012-03-04;0;171;156
2012-03-11;0;129;179
2012-03-18;1;79;162
2012-03-25;0;51;120
2012-04-01;0;32;114
2012-04-08;1;37;83
2012-04-15;1;35;106
2012-04-22;0;18;94
2012-04-29;1;17;72
2012-05-06;0;3;21
2012-05-13;0;4;22
2012-05-20;0;13;22
2012-05-27;0;2;15
2012-06-03;0;3;12
2012-06-10;0;2;5
2012-06-17;0;1;2
2012-06-24;1;1;2
2012-07-01;0;18;1
2012-07-08;0;5;1
2012-07-15;0;12;0
2012-07-22;0;3;1
2012-07-29;0;8;1
2012-08-05;1;8;1
2012-08-12;0;16;2
2012-08-19;0;6;1
2012-08-26;0;5;0
2012-09-02;0;11;2
2013-09-15;2;2;0
2013-09-22;1;2;0
2013-09-29;7;1;0
2013-10-06;4;2;1
2013-10-13;0;14;1
2013-10-20;0;10;6
2013-10-27;0;5;1
2013-11-03;0;4;15
2013-11-10;2;6;5
2013-11-17;1;12;1
2013-11-24;4;11;2
2013-12-01;16;22;15
2013-12-08;10;73;14
2013-12-15;27;57;21
2013-12-22;22;55;27
2013-12-29;53;67;34
2014-01-05;35;58;40
2014-01-12;32;19;14
2014-01-19;241;148;85
2014-01-26;371;183;185
2014-02-02;546;240;223
2014-02-09;501;165;215
2014-02-16;371;125;201
2014-02-23;245;68;185
2014-03-02;257;47;221
2014-03-09;217;74;221
2014-03-16;142;50;203
2014-03-23;141;60;228
2014-03-30;69;37;192
2014-04-06;58;24;141
2014-04-13;32;16;102
2014-04-20;28;8;78
2014-04-27;22;18;86
2014-05-04;16;5;78
2014-05-11;7;5;43
2014-05-18;2;4;22
2014-05-25;6;4;23
2014-06-01;0;8;12
2014-06-08;2;5;12
2014-06-15;1;0;1
2014-06-22;1;1;4
2014-06-29;0;3;4
2014-07-06;0;1;2
2014-07-13;0;1;0
2014-07-20;0;0;0
2014-07-27;1;3;1
2014-08-03;0;1;0
2014-08-10;0;1;0
2014-08-17;0;2;1
2014-08-24;0;3;0
2014-08-31;1;4;1
2014-09-07;0;6;0
2014-09-14;0;5;0
2014-09-21;1;12;0
2014-09-28;3;7;0
2014-10-05;2;11;2
2014-10-12;0;16;3
2014-10-19;0;3;1
2014-10-26;0;5;1
2014-11-02;0;11;3
2014-11-09;1;26;0
2014-11-16;3;26;1
2014-11-23;0;78;3
2014-11-30;0;108;3
2014-12-07;1;191;2
2014-12-14;0;301;2
2014-12-21;3;373;7
2014-12-28;1;523;7
2015-01-04;1;373;8
2015-01-11;0;71;2
2015-01-18;2;594;15
2015-01-25;2;479;20
2015-02-01;3;483;44
2015-02-08;4;373;35
2015-02-15;4;273;33
2015-02-22;5;173;26
2015-03-01;4;209;49
2015-03-08;5;113;46
2015-03-15;0;94;56
2015-03-22;5;79;60
2015-03-29;2;67;77
2015-04-05;2;36;59
2015-04-12;1;27;42
2015-04-19;1;14;42
2015-04-26;2;21;59
2015-05-03;1;12;51
2015-05-10;0;5;20
2015-05-17;0;2;11
2015-05-24;0;3;19
2015-05-31;0;1;17
2015-06-07;0;2;8
2015-06-14;0;1;10
2015-06-21;0;2;6
2015-06-28;0;2;5
2015-07-05;0;6;1
2015-07-12;0;1;2
2015-07-19;0;5;0
2015-07-26;1;0;0
2015-08-02;0;1;0
2015-08-09;0;1;3
2015-08-16;0;2;0
2015-08-23;0;2;1
2015-08-30;0;2;3
2015-09-06;3;1;1
2015-09-13;5;11;1
2015-09-20;2;3;1
2015-09-27;6;1;0
2015-10-04;2;0;1
2015-10-11;2;5;3
2015-10-18;0;11;2
2015-10-25;0;5;2
2015-11-01;13;10;10
2015-11-08;2;2;4
2015-11-15;3;13;5
2015-11-22;2;7;14
2015-11-29;6;9;6
2015-12-06;5;10;4
2015-12-13;10;9;7
2015-12-20;10;8;2
2015-12-27;1;4;9
2016-01-03;1;4;6
2016-01-10;3;0;2
