Time;New cases
1994-01-01;0
1994-02-01;4
1994-03-01;1
1994-04-01;1
1994-05-01;0
1994-06-01;0
1994-07-01;3
1994-08-01;0
1994-09-01;1
1994-10-01;0
1994-11-01;0
1994-12-01;1
1995-01-01;2
1995-02-01;3
1995-03-01;2
1995-04-01;5
1995-05-01;2
1995-06-01;3
1995-07-01;4
1995-08-01;2
1995-09-01;4
1995-10-01;4
1995-11-01;2
1995-12-01;6
1996-01-01;8
1996-02-01;3
1996-03-01;2
1996-04-01;4
1996-05-01;1
1996-06-01;0
1996-07-01;4
1996-08-01;0
1996-09-01;3
1996-10-01;10
1996-11-01;4
1996-12-01;84
1997-01-01;63
1997-02-01;12
1997-03-01;21
1997-04-01;8
1997-05-01;3
1997-06-01;2
1997-07-01;1
1997-08-01;1
1997-09-01;2
1997-10-01;6
1997-11-01;7
1997-12-01;45
1998-01-01;51
1998-02-01;91
1998-03-01;46
1998-04-01;33
1998-05-01;45
1998-06-01;34
1998-07-01;18
1998-08-01;17
1998-09-01;32
1998-10-01;77
1998-11-01;72
1998-12-01;65
1999-01-01;30
1999-02-01;21
1999-03-01;13
1999-04-01;5
1999-05-01;7
1999-06-01;6
1999-07-01;2
1999-08-01;8
1999-09-01;4
1999-10-01;2
1999-11-01;7
1999-12-01;26
2000-01-01;61
2000-02-01;62
2000-03-01;31
2000-04-01;20
2000-05-01;9
2000-06-01;10
2000-07-01;3
2000-08-01;2
2000-09-01;6
2000-10-01;3
2000-11-01;3
2000-12-01;6
2001-01-01;9
2001-02-01;8
2001-03-01;27
2001-04-01;16
2001-05-01;33
2001-06-01;9
2001-07-01;26
2001-08-01;8
2001-09-01;16
2001-10-01;8
2001-11-01;13
2001-12-01;10
2002-01-01;24
2002-02-01;17
2002-03-01;43
2002-04-01;30
2002-05-01;21
2002-06-01;15
2002-07-01;15
2002-08-01;10
2002-09-01;14
2002-10-01;11
2002-11-01;12
2002-12-01;12
2003-01-01;29
2003-02-01;52
2003-03-01;267
2003-04-01;145
2003-05-01;92
2003-06-01;33
2003-07-01;19
2003-08-01;7
2003-09-01;7
2003-10-01;53
2003-11-01;103
2003-12-01;61
2004-01-01;65
2004-02-01;112
2004-03-01;60
2004-04-01;42
2004-05-01;13
2004-06-01;9
2004-07-01;10
2004-08-01;14
2004-09-01;7
2004-10-01;6
2004-11-01;7
2004-12-01;5
2005-01-01;11
2005-02-01;27
2005-03-01;54
2005-04-01;12
2005-05-01;19
2005-06-01;13
2005-07-01;16
2005-08-01;12
2005-09-01;8
2005-10-01;13
2005-11-01;14
2005-12-01;20
2006-01-01;23
2006-02-01;21
2006-03-01;14
2006-04-01;14
2006-05-01;23
2006-06-01;20
2006-07-01;19
2006-08-01;9
2006-09-01;10
2006-10-01;13
2006-11-01;15
2006-12-01;7
2007-01-01;28
2007-02-01;27
2007-03-01;38
2007-04-01;42
2007-05-01;22
2007-06-01;17
2007-07-01;24
2007-08-01;30
2007-09-01;10
2007-10-01;24
2007-11-01;23
2007-12-01;29
2008-01-01;57
2008-02-01;47
2008-03-01;50
2008-04-01;22
2008-05-01;36
2008-06-01;38
2008-07-01;36
2008-08-01;32
2008-09-01;30
2008-10-01;34
2008-11-01;47
2008-12-01;132
2009-01-01;342
2009-02-01;388
2009-03-01;277
2009-04-01;103
2009-05-01;48
2009-06-01;45
2009-07-01;32
2009-08-01;36
2009-09-01;20
2009-10-01;29
2009-11-01;38
2009-12-01;43
2010-01-01;48
2010-02-01;60
2010-03-01;56
2010-04-01;70
2010-05-01;90
2010-06-01;113
2010-07-01;142
2010-08-01;88
2010-09-01;93
2010-10-01;146
2010-11-01;172
2010-12-01;150
2011-01-01;161
2011-02-01;142
2011-03-01;63
2011-04-01;45
2011-05-01;40
2011-06-01;37
2011-07-01;49
2011-08-01;33
2011-09-01;35
2011-10-01;35
2011-11-01;58
2011-12-01;123
2012-01-01;263
2012-02-01;217
2012-03-01;212
2012-04-01;185
2012-05-01;138
2012-06-01;95
2012-07-01;72
2012-08-01;82
2012-09-01;47
2012-10-01;81
2012-11-01;61
2012-12-01;87
2013-01-01;195
2013-02-01;147
2013-03-01;154
2013-04-01;174
2013-05-01;181
2013-06-01;150
2013-07-01;229
2013-08-01;163
2013-09-01;117
2013-10-01;118
2013-11-01;85
2013-12-01;131
2014-01-01;258
2014-02-01;238
2014-03-01;160
2014-04-01;166
2014-05-01;190
2014-06-01;166
2014-07-01;131
2014-08-01;88
2014-09-01;63
2014-10-01;72
2014-11-01;82
2014-12-01;107
2015-01-01;270
2015-02-01;281
2015-03-01;196
2015-04-01;186
2015-05-01;141
2015-06-01;96
2015-07-01;103
2015-08-01;79
2015-09-01;82
2015-10-01;94
2015-11-01;74
2015-12-01;61